League,Name,Position,Team,Age,Market Value
Serie A,Artem Dovbyk,Centre-Forward,AS Roma,27,"€30,000,000"
Serie A,Samuele Ricci,Defensive Midfield,Torino FC,23,"€30,000,000"
Serie A,Denzel Dumfries,Right-Back,Inter Milan,29,"€28,000,000"
Serie A,Manuel Locatelli,Defensive Midfield,Juventus FC,27,"€28,000,000"
Serie A,Nico González,Right Winger,Juventus FC,27,"€28,000,000"
Serie A,Frank Anguissa,Central Midfield,SSC Napoli,29,"€27,000,000"
Serie A,Pierre Kalulu,Centre-Back,Juventus FC,24,"€26,000,000"
Serie A,Federico Gatti,Centre-Back,Juventus FC,26,"€25,000,000"
Serie A,Mike Maignan,Goalkeeper,AC Milan,29,"€25,000,000"
Serie A,João Félix,Second Striker,AC Milan,25,"€25,000,000"
Serie A,Marco Carnesecchi,Goalkeeper,Atalanta BC,24,"€25,000,000"
Serie A,Odilon Kossounou,Centre-Back,Atalanta BC,24,"€25,000,000"
Serie A,Stanislav Lobotka,Defensive Midfield,SSC Napoli,30,"€25,000,000"
Serie A,Evan Ndicka,Centre-Back,AS Roma,25,"€25,000,000"
Serie A,Sam Beukema,Centre-Back,Bologna FC 1909,26,"€25,000,000"
Serie A,Dan Ndoye,Right Winger,Bologna FC 1909,24,"€25,000,000"
Serie A,Pietro Comuzzo,Centre-Back,ACF Fiorentina,20,"€25,000,000"
Serie A,Assane Diao,Right Winger,Como 1907,19,"€25,000,000"
Serie A,Weston McKennie,Central Midfield,Juventus FC,26,"€24,000,000"
Serie A,Gianluca Scamacca,Centre-Forward,Atalanta BC,26,"€24,000,000"
Serie A,Lewis Ferguson,Central Midfield,Bologna FC 1909,25,"€24,000,000"
Serie A,Albert Gudmundsson,Second Striker,ACF Fiorentina,27,"€23,000,000"
Serie A,Carlos Augusto,Left-Back,Inter Milan,26,"€22,000,000"
Serie A,Yunus Musah,Central Midfield,AC Milan,22,"€22,000,000"
Serie A,Raoul Bellanova,Right Midfield,Atalanta BC,24,"€22,000,000"
Serie A,Romelu Lukaku,Centre-Forward,SSC Napoli,31,"€22,000,000"
Serie A,Matías Soulé,Right Winger,AS Roma,22,"€22,000,000"
Serie A,Dodô,Right-Back,ACF Fiorentina,26,"€22,000,000"
Serie A,Lorenzo Lucca,Centre-Forward,Udinese Calcio,24,"€22,000,000"
Serie A,Fikayo Tomori,Centre-Back,AC Milan,27,"€20,000,000"
Serie A,Malick Thiaw,Centre-Back,AC Milan,23,"€20,000,000"
Serie A,Lazar Samardžić,Central Midfield,Atalanta BC,23,"€20,000,000"
Serie A,Matteo Ruggeri,Left Midfield,Atalanta BC,22,"€20,000,000"
Serie A,Giacomo Raspadori,Second Striker,SSC Napoli,25,"€20,000,000"
Serie A,Riccardo Orsolini,Right Winger,Bologna FC 1909,28,"€20,000,000"
Serie A,Morten Frendrup,Central Midfield,Genoa CFC,24,"€20,000,000"
Serie A,Ange-Yoan Bonny,Centre-Forward,Parma Calcio 1913,21,"€20,000,000"
Serie A,Michele Di Gregorio,Goalkeeper,Juventus FC,27,"€18,000,000"
Serie A,Lloyd Kelly,Centre-Back,Juventus FC,26,"€18,000,000"
Serie A,Renato Veiga,Centre-Back,Juventus FC,21,"€18,000,000"
Serie A,Strahinja Pavlović,Centre-Back,AC Milan,23,"€18,000,000"
Serie A,Mathías Olivera,Left-Back,SSC Napoli,27,"€18,000,000"
Serie A,Gianluca Mancini,Centre-Back,AS Roma,29,"€18,000,000"
Serie A,Jhon Lucumí,Centre-Back,Bologna FC 1909,26,"€18,000,000"
Serie A,Nicolò Fagioli,Central Midfield,ACF Fiorentina,24,"€18,000,000"
Serie A,Lucas Beltrán,Attacking Midfield,ACF Fiorentina,24,"€18,000,000"
Serie A,Ivan Ilić,Central Midfield,Torino FC,24,"€18,000,000"
Serie A,Koni De Winter,Centre-Back,Genoa CFC,22,"€18,000,000"
Serie A,Jaka Bijol,Centre-Back,Udinese Calcio,26,"€18,000,000"
Serie A,Timothy Weah,Right Winger,Juventus FC,25,"€17,000,000"
Serie A,Mile Svilar,Goalkeeper,AS Roma,25,"€17,000,000"
Serie A,Alexis Saelemaekers,Right Winger,AS Roma,25,"€17,000,000"
Serie A,Ruben Loftus-Cheek,Central Midfield,AC Milan,29,"€16,000,000"
Serie A,Billy Gilmour,Defensive Midfield,SSC Napoli,23,"€16,000,000"
Serie A,Nicolò Zaniolo,Attacking Midfield,ACF Fiorentina,25,"€16,000,000"
Serie A,Andrea Pinamonti,Centre-Forward,Genoa CFC,25,"€16,000,000"
Serie A,Kristjan Asllani,Defensive Midfield,Inter Milan,23,"€15,000,000"
Serie A,Tammy Abraham,Centre-Forward,AC Milan,27,"€15,000,000"
Serie A,Giovanni Di Lorenzo,Right-Back,SSC Napoli,31,"€15,000,000"
Serie A,Noah Okafor,Left Winger,SSC Napoli,24,"€15,000,000"
Serie A,Angeliño,Left-Back,AS Roma,28,"€15,000,000"
Serie A,Benja Domínguez,Left Winger,Bologna FC 1909,21,"€15,000,000"
Serie A,Yacine Adli,Defensive Midfield,ACF Fiorentina,24,"€15,000,000"
Bundesliga,Jamal Musiala,Attacking Midfield,Bayern Munich,22,"€140,000,000"
Bundesliga,Harry Kane,Centre-Forward,Bayern Munich,31,"€90,000,000"
Bundesliga,Michael Olise,Right Winger,Bayern Munich,23,"€80,000,000"
Bundesliga,Hugo Ekitiké,Centre-Forward,Eintracht Frankfurt,22,"€55,000,000"
Bundesliga,Dayot Upamecano,Centre-Back,Bayern Munich,26,"€50,000,000"
Bundesliga,Alphonso Davies,Left-Back,Bayern Munich,24,"€50,000,000"
Bundesliga,Joshua Kimmich,Defensive Midfield,Bayern Munich,30,"€50,000,000"
Bundesliga,Aleksandar Pavlovic,Defensive Midfield,Bayern Munich,20,"€50,000,000"
Bundesliga,Jamie Gittens,Left Winger,Borussia Dortmund,20,"€50,000,000"
Bundesliga,Min-jae Kim,Centre-Back,Bayern Munich,28,"€45,000,000"
Bundesliga,João Palhinha,Defensive Midfield,Bayern Munich,29,"€40,000,000"
Bundesliga,Gregor Kobel,Goalkeeper,Borussia Dortmund,27,"€40,000,000"
Bundesliga,Nico Schlotterbeck,Centre-Back,Borussia Dortmund,25,"€40,000,000"
Bundesliga,Karim Adeyemi,Right Winger,Borussia Dortmund,23,"€40,000,000"
Bundesliga,Serhou Guirassy,Centre-Forward,Borussia Dortmund,29,"€40,000,000"
Bundesliga,Hugo Larsson,Central Midfield,Eintracht Frankfurt,20,"€40,000,000"
Bundesliga,Leroy Sané,Right Winger,Bayern Munich,29,"€38,000,000"
Bundesliga,Kingsley Coman,Left Winger,Bayern Munich,28,"€35,000,000"
Bundesliga,Jonathan Burkardt,Centre-Forward,1.FSV Mainz 05,24,"€35,000,000"
Bundesliga,Mohamed Amoura,Centre-Forward,VfL Wolfsburg,24,"€32,000,000"
Bundesliga,Hiroki Ito,Centre-Back,Bayern Munich,25,"€30,000,000"
Bundesliga,Josip Stanisic,Right-Back,Bayern Munich,25,"€28,000,000"
Bundesliga,Felix Nmecha,Central Midfield,Borussia Dortmund,24,"€28,000,000"
Bundesliga,Konrad Laimer,Central Midfield,Bayern Munich,27,"€25,000,000"
Bundesliga,Serge Gnabry,Left Winger,Bayern Munich,29,"€25,000,000"
Bundesliga,Julian Brandt,Attacking Midfield,Borussia Dortmund,28,"€25,000,000"
Bundesliga,Maximilian Beier,Centre-Forward,Borussia Dortmund,22,"€25,000,000"
Bundesliga,Elye Wahi,Centre-Forward,Eintracht Frankfurt,22,"€25,000,000"
Bundesliga,Tom Bischof,Central Midfield,TSG 1899 Hoffenheim,19,"€25,000,000"
Bundesliga,Arthur Theate,Centre-Back,Eintracht Frankfurt,24,"€24,000,000"
Bundesliga,Leon Goretzka,Central Midfield,Bayern Munich,30,"€22,000,000"
Bundesliga,Ritsu Doan,Right Winger,SC Freiburg,26,"€22,000,000"
Bundesliga,Yan Couto,Right-Back,Borussia Dortmund,22,"€20,000,000"
Bundesliga,Julian Ryerson,Right-Back,Borussia Dortmund,27,"€20,000,000"
Bundesliga,Konstantinos Koulierakis,Centre-Back,VfL Wolfsburg,21,"€20,000,000"
Bundesliga,Lovro Majer,Attacking Midfield,VfL Wolfsburg,27,"€20,000,000"
Bundesliga,Sacha Boey,Right-Back,Bayern Munich,24,"€18,000,000"
Bundesliga,Waldemar Anton,Centre-Back,Borussia Dortmund,28,"€18,000,000"
Bundesliga,Robin Koch,Centre-Back,Eintracht Frankfurt,28,"€18,000,000"
Bundesliga,Can Uzun,Attacking Midfield,Eintracht Frankfurt,19,"€18,000,000"
Bundesliga,Adam Hlozek,Second Striker,TSG 1899 Hoffenheim,22,"€18,000,000"
Bundesliga,Nadiem Amiri,Central Midfield,1.FSV Mainz 05,28,"€18,000,000"
Bundesliga,Kaishu Sano,Defensive Midfield,1.FSV Mainz 05,24,"€17,000,000"
Bundesliga,Paul Nebel,Attacking Midfield,1.FSV Mainz 05,22,"€17,000,000"
Bundesliga,Tim Kleindienst,Centre-Forward,Borussia Mönchengladbach,29,"€17,000,000"
Bundesliga,Chrislain Matsima,Centre-Back,FC Augsburg,22,"€17,000,000"
Bundesliga,Diogo Leite,Centre-Back,1.FC Union Berlin,26,"€17,000,000"
Bundesliga,Andreas Skov Olsen,Right Winger,VfL Wolfsburg,25,"€16,000,000"
Bundesliga,Carney Chukwuemeka,Central Midfield,Borussia Dortmund,21,"€15,000,000"
Bundesliga,Tuta,Centre-Back,Eintracht Frankfurt,25,"€15,000,000"
Bundesliga,Nathaniel Brown,Left-Back,Eintracht Frankfurt,21,"€15,000,000"
Bundesliga,Patrick Wimmer,Right Winger,VfL Wolfsburg,23,"€15,000,000"
Bundesliga,Jonas Wind,Centre-Forward,VfL Wolfsburg,26,"€15,000,000"
Bundesliga,Noah Atubolu,Goalkeeper,SC Freiburg,22,"€15,000,000"
Bundesliga,Philipp Lienhart,Centre-Back,SC Freiburg,28,"€15,000,000"
Bundesliga,Rocco Reitz,Central Midfield,Borussia Mönchengladbach,22,"€15,000,000"
Bundesliga,Romano Schmid,Attacking Midfield,SV Werder Bremen,25,"€15,000,000"
Bundesliga,Kamil Grabara,Goalkeeper,VfL Wolfsburg,26,"€14,000,000"
Bundesliga,Joakim Maehle,Left-Back,VfL Wolfsburg,27,"€14,000,000"
Bundesliga,Anton Stach,Defensive Midfield,TSG 1899 Hoffenheim,26,"€14,000,000"
Bundesliga,Danilho Doekhi,Centre-Back,1.FC Union Berlin,26,"€13,000,000"
Bundesliga,Mattias Svanberg,Central Midfield,VfL Wolfsburg,26,"€12,000,000"
Bundesliga,Tiago Tomás,Centre-Forward,VfL Wolfsburg,22,"€12,000,000"
Bundesliga,Merlin Röhl,Attacking Midfield,SC Freiburg,22,"€12,000,000"
Bundesliga,Eren Dinkçi,Right Winger,SC Freiburg,23,"€12,000,000"
Bundesliga,Ko Itakura,Centre-Back,Borussia Mönchengladbach,28,"€12,000,000"
Bundesliga,Franck Honorat,Right Winger,Borussia Mönchengladbach,28,"€12,000,000"
Bundesliga,Jens Stage,Central Midfield,SV Werder Bremen,28,"€12,000,000"
Bundesliga,Alexis Claude-Maurice,Attacking Midfield,FC Augsburg,26,"€12,000,000"
Bundesliga,Raphaël Guerreiro,Left-Back,Bayern Munich,31,"€10,000,000"
Bundesliga,Marcel Sabitzer,Central Midfield,Borussia Dortmund,31,"€10,000,000"
Bundesliga,Giovanni Reyna,Attacking Midfield,Borussia Dortmund,22,"€10,000,000"
Bundesliga,Nnamdi Collins,Centre-Back,Eintracht Frankfurt,21,"€10,000,000"
Bundesliga,Rasmus Kristensen,Right-Back,Eintracht Frankfurt,27,"€10,000,000"
Bundesliga,Ansgar Knauff,Right Winger,Eintracht Frankfurt,23,"€10,000,000"
Bundesliga,Gift Orban,Centre-Forward,TSG 1899 Hoffenheim,22,"€10,000,000"
Bundesliga,Kiliann Sildillia,Right-Back,SC Freiburg,22,"€10,000,000"
Bundesliga,Maximilian Eggestein,Central Midfield,SC Freiburg,28,"€10,000,000"
Bundesliga,Niklas Beste,Left Winger,SC Freiburg,26,"€10,000,000"
Bundesliga,Anthony Caci,Right Midfield,1.FSV Mainz 05,27,"€10,000,000"
Bundesliga,Joe Scally,Right-Back,Borussia Mönchengladbach,22,"€10,000,000"
Bundesliga,Robin Hack,Left Winger,Borussia Mönchengladbach,26,"€10,000,000"
Bundesliga,Marco Friedl,Centre-Back,SV Werder Bremen,27,"€10,000,000"
Bundesliga,Tom Rothe,Left-Back,1.FC Union Berlin,20,"€10,000,000"
Bundesliga,Ellyes Skhiri,Defensive Midfield,Eintracht Frankfurt,29,"€9,000,000"
Bundesliga,Farès Chaïbi,Attacking Midfield,Eintracht Frankfurt,22,"€9,000,000"
Bundesliga,Jean-Mattéo Bahoya,Left Winger,Eintracht Frankfurt,19,"€9,000,000"
Bundesliga,Aster Vranckx,Central Midfield,VfL Wolfsburg,22,"€9,000,000"
Bundesliga,Bence Dárdai,Attacking Midfield,VfL Wolfsburg,19,"€9,000,000"
Bundesliga,Bazoumana Touré,Left Winger,TSG 1899 Hoffenheim,19,"€9,000,000"
Bundesliga,Senne Lynen,Defensive Midfield,SV Werder Bremen,26,"€9,000,000"
Bundesliga,Julien Duranville,Left Winger,Borussia Dortmund,18,"€8,500,000"
Bundesliga,Valentin Gendrey,Right-Back,TSG 1899 Hoffenheim,24,"€8,500,000"
Bundesliga,Patrick Osterhage,Central Midfield,SC Freiburg,25,"€8,500,000"
Bundesliga,Jonas Urbig,Goalkeeper,Bayern Munich,21,"€8,000,000"
Bundesliga,Eric Dier,Centre-Back,Bayern Munich,31,"€8,000,000"
Bundesliga,Niklas Süle,Centre-Back,Borussia Dortmund,29,"€8,000,000"
Bundesliga,Mads Roerslev,Right-Back,VfL Wolfsburg,25,"€8,000,000"
Bundesliga,Matthias Ginter,Centre-Back,SC Freiburg,31,"€8,000,000"
Bundesliga,Nico Elvedi,Centre-Back,Borussia Mönchengladbach,28,"€8,000,000"
